name,hazardous,min_diameter_km,max_diameter_km,velocity_kph,miss_distance_km,orbiting_body
433 Eros (A898 PA),False,22.0067027115,49.2084832235,20083.0290749201,47112732.928149395,Earth
719 Albert (A911 TB),False,2.0256060086,4.529392731,12405.7044108262,255628984.35594097,Juptr
887 Alinda (A918 AA),False,4.5978518828,10.2811093604,25545.5050715949,20461808.59911762,Earth
1036 Ganymed (A924 UB),False,38.7752830381,86.70416872,22693.9190798868,292651826.17328167,Juptr
1221 Amor (1932 EA1),False,0.8923905787,1.9954459964,38772.6266119612,27512874.49403824,Earth
1566 Icarus (1949 MA),True,1.3018321019,2.9109850751,97229.0222765759,12638630.577981211,Earth
1580 Betulia (1950 KA),False,3.0942469862,6.9189466003,40887.556937086,276689988.3141728,Juptr
1620 Geographos (1951 RA),True,2.3472263753,5.2485577338,42346.1238907982,5071250.179154606,Earth
1627 Ivar (1929 SH),False,7.3207398935,16.3696720474,23579.5334280787,24911350.57033978,Earth
1685 Toro (1948 OA),False,3.7030107822,8.2801838305,58086.295191184,26483636.032191083,Earth
1862 Apollo (1932 HA),True,1.6164228334,3.6144313359,41906.5693097868,9839828.72675955,Venus
1863 Antinous (1948 EA),False,2.1505769,4.8088361393,65086.24556489,13378690.522801436,Mars
1864 Daedalus (1971 FA),False,2.8612445378,6.3979372868,76038.4446268147,22024825.739892863,Venus
1865 Cerberus (1971 UA),False,1.1656145947,2.6063934693,55180.377247365,49946927.09224927,Earth
1866 Sisyphus (1972 XA),False,8.4441312798,18.8816515525,83065.5643185418,29534088.129173607,Earth
1915 Quetzalcoatl (1953 EA),False,0.5604733623,1.2532565376,54435.5501077667,3789658.286758657,Earth
1916 Boreas (1953 RA),False,2.7324673204,6.1099826748,0.0,0.0,UNKNOWN
1917 Cuyo (1968 AA),False,3.536347843,7.907514169,54844.1633676078,16872242.23565602,Earth
1943 Anteros (1973 EC),False,1.9344387205,4.3255364773,25928.2922403221,18431472.889783904,Earth
1980 Tezcatlipoca (1950 LA),False,4.5978518828,10.2811093604,0.0,0.0,UNKNOWN
1981 Midas (1973 EA),True,2.4129869692,5.395602892,113050.5623631292,23199911.458661888,Earth
2059 Baboquivari (1963 UA),False,1.6926024946,3.7847742368,11660.413999084,207416502.58300328,Juptr
2061 Anza (1960 UA),False,1.214940408,2.7166893409,24822.4379983401,10260840.755678441,Earth
2062 Aten (1976 AA),False,1.0059003902,2.249261651,40567.7550002054,18835343.845160324,Earth
2063 Bacchus (1977 HB),False,0.9606274149,2.1480282008,37400.8039188775,9959874.809122944,Venus
2100 Ra-Shalom (1978 RA),False,1.5085335612,3.3731835891,64782.5048421703,12234329.693286197,Merc
2101 Adonis (1936 CA),True,0.4792421155,1.071617948,69588.0849150893,28139969.347274713,Earth
2102 Tantalus (1975 YA),True,1.6770846216,3.750075218,116367.3227831494,49216305.7856801,Earth
2135 Aristaeus (1977 HA),True,0.6524616298,1.4589485569,98776.0299183462,71380028.48041442,Earth
2201 Oljato (1947 XC),True,2.2519304668,5.0354696043,91244.2564779034,25845172.05499014,Earth
2202 Pele (1972 RA),False,1.0630531449,2.3770590956,23378.1491064097,22477105.54873577,Earth
2212 Hephaistos (1978 SB),False,5.3034072332,11.8587790858,105916.1255916163,17637404.014912043,Venus
2329 Orthos (1976 WA),False,3.2251875645,7.2117386345,84326.1161612828,72695339.82246709,Earth
2340 Hathor (1976 UA),True,0.2180494405,0.4875733714,62969.6371285868,11911205.968456928,Merc
2368 Beltrovata (1977 RA),False,2.4578477463,5.4959146391,0.0,0.0,UNKNOWN
2608 Seneca (1978 DA),False,0.8483107619,1.8968805296,61685.3221529083,25771799.401042502,Earth
3102 Krok (1981 QA),False,1.5579552413,3.4836938254,22059.1617892003,29746627.83691698,Earth
3103 Eger (1982 BB),False,2.3150212221,5.176544822,61046.8923943937,26405147.011411157,Earth
3122 Florence (1981 ET3),True,4.0602705828,9.0790410302,50235.8172985465,7837812.477648522,Earth
3199 Nefertiti (1982 RA),False,2.6457875993,5.9161609261,48319.8956008063,7046928.900463848,Mars
3200 Phaethon (1983 TB),True,3.5039264111,7.8350176433,121960.0421719265,22346295.256355032,Venus
3271 Ul (1982 RB),False,1.2839702958,2.8710448625,47393.6105099236,65291489.11887678,Earth
3288 Seleucus (1982 DV),False,2.2727673228,5.0820622309,23403.1851156365,20895360.908845857,Earth
3352 McAuliffe (1981 CW),False,1.7161489408,3.8374256911,0.0,0.0,UNKNOWN
3360 Syrinx (1981 VA),False,1.6464743776,3.6816286314,81229.6047384436,13338427.048959646,Venus
3361 Orpheus (1982 HR),True,0.3255029858,0.727846803,76934.4392799655,63868144.53805979,Earth
3362 Khufu (1984 QA),True,0.5254785303,1.1750057146,108037.2079069855,72881438.22636625,Earth
3551 Verenia (1983 RD),False,1.2038017674,2.6917825833,28810.4494463952,12754489.206526289,Earth
3552 Don Quixote (1983 SA),False,6.5547325584,14.6568275748,42666.7792311486,90060440.67815797,Juptr
3553 Mera (1985 JA),False,1.3821493588,3.0905799213,0.0,0.0,UNKNOWN
3554 Amun (1986 EB),False,1.7480545317,3.9087687612,53593.3830688232,58971083.96452386,Earth
3671 Dionysus (1984 KD),True,1.3383046182,2.9925401008,11968.349214867,275200659.7481271,Juptr
3691 Bede (1982 FT),False,2.7199127735,6.0819098544,37914.6690930388,52099228.71829145,Earth
